
@corpus\AlbertoProenca.md	@corpus\AlbertoProenca.md	VERB	
tínhamos	tínhamos	VERB	
feitios	feitio	ADJ	
muito	muito	ADV	
diferentes	diferente	ADJ	

Não	não	ADV	
deu	dar	VERB	
propriamente	propriamente	ADV	
para	para	SCONJ	
eu	eu	PRON	
brincar	brincar	VERB	
com	com	ADP	
o	o	DET	
meu	meu	DET	
irmão	irmão	NOUN	

Quatro	quatro	NUM	
anos	ano	NOUN	
é	ser	AUX	
uma	um	DET	
diferença	diferença	NOUN	
muito	muito	ADV	
grande	grande	ADJ	
e	e	CCONJ	
não	não	ADV	
tenho	ter	VERB	
imagens	imagem	NOUN	
nem	nem	ADP	
sequer	sequer	NOUN	
recordações	recordação	NOUN	
de	de	SCONJ	
estar	estar	VERB	
a	a	SCONJ	
brincar	brincar	VERB	
com	com	ADP	
o	o	DET	
meu	meu	DET	
irmão	irmão	NOUN	

É	ser	AUX	
outro	outro	DET	
mundo	mundo	NOUN	
que	que	SCONJ	
não	não	ADV	
entra	entrar	VERB	
na	em o	ADP	
minha	meu	DET	
colecção	colecção	NOUN	
de	de	ADP	
imagens	imagem	NOUN	
de	de	ADP	
infância	infância	NOUN	

As	o	DET	
ideias	ideia	NOUN	
que	que	PRON	
eu	eu	PRON	
tenho	ter	VERB	
desse	de esse	ADP	
tempo	tempo	NOUN	
de	de	SCONJ	
brincar	brincar	VERB	
era	ser	AUX	
essencialmente	essencialmente	ADV	
ao	a o	ADP	
ar	ar	NOUN	
livre	livre	ADJ	
no	em o	ADP	
quintal	quintal	NOUN	
que	que	PRON	
tinha	ter	VERB	
várias	várias	DET	
árvores	árvore	NOUN	
amoreiras	amoreira	NOUN	
que	que	PRON	
não	não	ADV	
são	ser	AUX	
como	como	ADP	
aquelas	aquele	PRON	
que	que	PRON	
vim	vir	VERB	PER
encontrar	encontrar	VERB	
cá	cá	ADV	
em Portugal	em Portugal	PROPN	LOC

Eram	Eram	AUX	
amoreiras	amoreira	NOUN	
sem	sem	ADP	
picos	pico	NOUN	
com	com	ADP	
umas	um	DET	
amoras	amora	NOUN	
extremamente	extremamente	ADV	
deliciosas	delicioso	ADJ	
e	e	CCONJ	
com	com	ADP	
uma	um	DET	
fartura	fartura	NOUN	
