#, 538
haver, 529
ano, 515
pessoa, 373
professor, 341
outro, 311
casa, 309
altura, 265
universidade, 256
pai, 243
querer, 228
vir, 226
curso, 218
gente, 210
dia, 196
passar, 195
algum, 194
trabalho, 186
achar, 184
gostar, 183
aula, 182
vida, 181
trabalhar, 174
ficar, 166
começar, 158
hoje, 143
aluno, 140
mãe, 130
entrar, 124
andar, 119
família, 118
facto, 116
Braga, 113
colega, 106
estudar, 106
problema, 105
maneira, 101
viver, 99
escola, 93
acabar, 92
hora, 89
irmão, 88
pensar, 85
serviço, 83
Moçambique, 82
chegar, 82
sala, 80
bocado, 79
conhecer, 78
fiz, 75
nenhum, 71
conseguir, 69
sair, 69
pequeno, 68
durante, 68
docente, 68
cão, 68
Portugal, 67
